h,K,theta_deg,t3_min,t3_max
6.0,1.326934264107039,25.289999999999992,45.63869018942526,102.5473206761808
6.5,1.289639381797367,22.77000000000001,41.10725110158237,94.05221776239172
7.0,1.2560631697687537,20.430000000000007,36.703901773490934,86.41240253175378
7.5,1.228412256267409,18.44999999999996,32.42401860144821,79.41770393975584
8.0,1.2038567493112948,16.650000000000006,28.26073403676907,72.94035013640081
8.5,1.1822149481723947,15.029999999999973,24.20541361647638,66.89119554680497
9.0,1.1609940572663422,13.409999999999968,20.247877460555554,61.20536155836466
9.5,1.142474558114622,11.96999999999997,16.377658790439845,55.83314397767225
10.0,1.125398512221041,10.619999999999976,12.583093801156124,50.73274826192883
10.5,1.1085925144965736,9.27000000000001,8.852429262168462,45.87015995158251
11.0,1.094240837696335,8.099999999999994,5.173138969800357,41.215561058301155
11.5,1.077922077922078,6.75,1.5323294942965213,36.743686554582254
12.0,1.0639834881320944,5.579999999999956,-2.0840789503245394,32.431835297577855
12.5,1.0502306509482313,4.409999999999968,-5.690906787208527,28.26073403676907
13.0,1.0366598778004075,3.240000000000009,-9.304167759381038,24.21128288640858
13.5,1.023267577137076,2.0699999999999648,-12.942615725949029,20.26725595657876
14.0,1.0090406830738317,0.8099999999999454,-16.627551351326456,16.413152318186906
